062??75?;02061????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
072??05?;02071????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
072??30?;02071????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
072??40?;02071????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
082??27?;02081????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
092??06?;02091????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
092??30?;02091????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
102??27?;02101????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
112??05?;02111????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
112??30?;02111????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
112??40?;02111????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
112??50?;02111????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
122??12?;02121????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
122??24?;02121????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
132??07?;02131????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
132??51?;02131????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
142??19?;02141????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
142??28?;02141????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
142??88?;02141????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
152??01?;02151????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
152??30?;02151????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
162??10?;02161????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
162??30?;02161????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
172??30?;02161????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
172??30?;02171????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
182??04?;02181????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
182??19?;02181????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
182??21?;02181????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
192??01?;02191????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
202??07?;02201????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
212??24?;02211????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
212??25?;02211????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
222??19?;02221????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
222??20?;02221????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
222??30?;02221????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
232??01?;02231????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
242??10?;02241????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
242??30?;02241????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
242??31?;02241????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
252??24?;02251????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
252??30?;02251????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
262??05?;02261????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
262??30?;02261????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
262??40?;02261????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
272??19?;02271????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
272??28?;02271????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
272??30?;02271????;99200008;CONTINUITESERVICE NOEMIE 3 MSA
