CIP,C,13	CIP7,C,7	PRIX_F,N,10,0	PRIX_E,N,10,0	FAB_HT_F,N,11,0	FAB_HT_E,N,11,0	TAUX,C,3	DATE_APPLI,D	DATE_JO,D
3400932330584	3233058	0	447	0	281	065	01/01/12	
3400932330584	3233058	0	444	0	281	065	07/03/08	06/03/08
3400932331536	3233153	0	195	0	86	065	01/01/12	
3400932331536	3233153	0	174	0	86	065	07/03/08	06/03/08
3400932331994	3233199	0	1985	0	1424	065	01/01/12	
3400932331994	3233199	0	2032	0	1424	065	07/03/08	06/03/08
3400932332076	3233207	0	181	0	75	065	01/01/12	
3400932332076	3233207	0	158	0	75	065	07/03/08	06/03/08
3400932332137	3233213	0	144	0	65	065	01/01/12	
3400932332137	3233213	0	144	0	65	065	07/03/08	06/03/08
3400932332366	3233236	0	771	0	529	065	01/01/12	
3400932332366	3233236	0	789	0	529	065	06/05/08	18/03/08
3400932332427	3233242	0	382	0	231	065	01/01/12	
3400932332427	3233242	0	375	0	231	065	07/03/08	06/03/08
3400932334209	3233420	0	512	0	332	065	01/01/12	
3400932334209	3233420	0	515	0	332	065	07/03/08	06/03/08
3400932337798	3233779	0	528	0	344	065	01/01/12	
3400932337798	3233779	0	532	0	344	065	07/03/08	06/03/08
3400932337859	3233785	0	560	0	369	065	01/01/12	
3400932337859	3233785	0	567	0	369	065	07/03/08	06/03/08
3400932340170	3234017	0	329	0	190	065	01/01/12	
3400932340170	3234017	0	318	0	190	065	07/03/08	06/03/08
3400932340460	3234046	0	511	0	331	065	01/01/12	
3400932340460	3234046	0	514	0	331	065	06/05/08	15/04/08
3400932340699	3234069	0	326	0	187	065	01/01/12	
3400932340699	3234069	0	314	0	187	065	06/05/08	15/04/08
3400932340750	3234075	0	980	0	683	065	01/01/12	
3400932340750	3234075	0	1003	0	683	065	07/03/08	06/03/08
3400932340989	3234098	0	297	0	165	030	01/01/12	
3400932340989	3234098	0	283	0	165	030	02/05/11	06/04/11
3400932341122	3234112	0	365	0	218	030	01/01/12	
3400932341122	3234112	0	357	0	218	030	02/05/11	06/04/11
3400932341641	3234164	0	1086	0	761	065	01/07/12	31/01/12
3400932341641	3234164	0	1267	0	895	065	01/01/12	
3400932341641	3234164	0	1297	0	895	065	07/03/08	06/03/08
3400932341702	3234170	0	335	0	194	030	01/01/12	
3400932341702	3234170	0	324	0	194	030	02/05/11	06/04/11
3400932341870	3234187	0	712	0	485	030	01/01/12	
3400932341870	3234187	0	728	0	485	030	02/05/11	06/04/11
